"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11"
0.900,1.11,-0.09,201.29,0.900,1.07,-0.01,0.49,,,,,,,,,,,,,,,,,,,,,0.900,0.09,34.69,-181.00,0.900,0.31,-1.23,0.12,0.900,0.54,-0.82,-0.59
0.920,1.11,0.04,137.20,0.920,1.07,-0.02,2.67,,,,,,,,,,,,,,,,,,,,,0.920,3.35,15.60,-768.77,0.920,0.29,-1.23,0.24,0.920,0.52,-0.83,0.03
0.940,1.11,0.02,0.15,0.940,1.07,0.06,,,,,,,,,,,,,,,,,,,,,,0.940,1.06,-11.53,-582.54,0.940,0.26,-1.23,0.68,0.940,0.51,-0.81,0.27
0.960,1.12,0.04,-2.22,0.960,1.07,0.25,,,,,,,,,,,,,,,,,,,,,,0.960,1.02,-19.53,-33.17,0.960,0.24,-1.21,3.35,0.960,0.49,-0.80,-0.13
0.980,1.11,-0.07,-2.87,0.980,1.08,,,,,,,,,,,,,,,,,,,,,,,0.980,1.03,-0.08,259.35,0.980,0.21,-1.17,6.05,0.980,0.48,-0.81,-0.85
1.000,1.11,-0.13,0.35,,,,,,,,,,,,,,,,,,,,,,,,,1.000,1.04,0.17,,1.000,0.19,-0.89,6.45,1.000,0.46,-0.84,-1.07
1.020,1.10,-0.15,4.95,,,,,,,,,,,,,,,,,,,,,,,,,1.020,1.04,-0.11,,1.020,0.17,-0.83,4.24,1.020,0.44,-0.87,-0.71
1.040,1.11,0.16,3.90,,,,,,,,,,,,,,,,,,,,,,,,,1.040,1.03,,,1.040,0.17,-0.78,67.70,1.040,0.42,-0.87,-0.29
1.060,1.10,0.23,-3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.060,0.13,-0.77,200.64,1.060,0.41,-0.87,-0.23
1.080,1.14,-0.04,-9.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.080,0.13,7.18,268.87,1.080,0.39,-0.88,-0.36
1.100,1.10,-0.33,-6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.100,0.11,15.29,140.02,1.100,0.37,-0.89,-0.30
1.120,1.10,-0.40,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.120,1.05,15.42,-122.42,1.120,0.35,-0.89,-0.10
1.140,1.10,-0.14,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.140,1.05,7.79,,1.140,0.34,-0.89,0.02
1.160,1.09,-0.13,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.160,1.05,-0.01,,1.160,0.32,-0.89,0.01
1.180,1.09,-0.17,-1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.180,1.05,,,1.180,0.30,-0.89,-0.03
1.200,1.09,-0.19,-1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.200,0.28,-0.89,0.02
1.220,1.08,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.220,0.26,-0.89,0.13
1.240,1.08,-0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.240,0.25,-0.89,0.23
1.260,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.260,0.23,-0.88,0.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.280,0.21,-0.87,0.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.300,0.19,-0.87,0.22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.320,0.18,-0.86,1.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.340,0.16,-0.86,5.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.360,0.14,-0.70,9.30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.380,0.13,-0.40,73.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.400,0.13,-0.21,259.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.420,0.13,7.43,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.440,0.12,22.55,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.460,1.03,,
